"Previous 
Local Code","UCOP Major
Code (CSS)",ISIS Major Code,Major Abbreviation,Major Description ,Diploma Title,Start Term,End Term,"Student 
Level",Department,Award Type,Program Length (in years),College,CIP Code,CIP Description,STEM,"Self 
Supporting","Discontinued or
Phasing Out",Notes,,,,,,,,
064,064,AN26,Anth-Biol,Anthropology(Conc in Bio Anth),Anthropology (Concentration in Biological Anthropology),FA88,,UN,ANTH,BA,4,RE MU TH WA FI SI SN EI,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,065,AN27,Anth-Arch,Anthropology(Conc in Archaeol),Anthropology (Concentration in Archaeology),SP93,,UN,ANTH,BA,4,RE MU TH WA FI SI SN EI,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
---,00S,AN28,Anth-Soci,Anthropology(Conc in Soc Anth),Anthropology (Concentration in Sociocultural Anthropology),FA07,,UN,ANTH,BA,4,RE MU TH WA FI SI SN EI,450201,ANTHROPOLOGY,,,,,,,,,,,,
,0EL,AN29,BioAnthro,Biological Anthropology,Biological Anthropology,S119,,UN,ANTH,BS,4,RE MU TH WA FI SI SN EI,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,0FO,AN30,Anth-ClHus,Anth (Conc Clim Chng&Humn Sol),Anthropology with Concentration in Climate Change and Human Solutions,FA19,,UN,ANTH,BA,4,RE MU TH WA FI SI SN EI,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,0KZ,AN31,EnvAnthro,Environmental Anthropology,Environmental Anthropology,WI25,,UN,ANTH,BS,4,RE MU TH WA FI SI SN EI,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
---,063,AN50,Hn-Anthro,Anthropology,Anthropology,WI91,FA10,UN,ANTH,BA,4,RE MU TH WA FI SI,450201,ANTHROPOLOGY,,,YES,,,,,,,,,
---,063,AN51,Hn-AnthBi,Anthropology(Conc in Bio Anth),Anthropology (Concentration in Biological Anthropology),WI91,,UN,ANTH,BA,4,RE MU TH WA FI SI,450299,"ANTHROPOLOGY, OTHER",,,YES,,,,,,,,,
---,063,AN52,Hn-AnthArc,Anthropology(Conc in Archaeol),Anthropology (Concentration in Archaeology),SP93,,UN,ANTH,BA,4,RE MU TH WA FI SI,450299,"ANTHROPOLOGY, OTHER",,,YES,,,,,,,,,
---,00S,AN53,Hn-AnthSoc,Anthropology(Conc in Soc Anth),,FA07,,UN,ANTH,BA,4,RE MU TH WA FI SI,450201,ANTHROPOLOGY,,,YES,,,,,,,,,
